Product code,CPU cores,CPU freq,CPU name,Display height,Display screen,Display witdh,Maker code,Maker name,Memory RAM,Memory ROM,Name ID,OS type,OS version,Study or work,Entertaiment
HTC_Desire_626,4,1.2,Qualcomm Snapdragon 410 MSM8916,1280,5,720,ht,HTC,2048,16384,HTC Desire 626,android,5.1,0,0
HTC_Desire_EYE,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920,5.2,1080,ht,HTC,2048,16384,HTC Desire EYE,android,5.1,1,1
HTL21,4,1.5,Qualcomm Snapdragon APQ8064,1920,5,1080,ht,HTC,2048,16384,HTC J butterfly,android,4.1,1,0
HTL22,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920,4.7,1080,ht,HTC,2048,32768,HTC J One,android,4.4,0,0
HTL23,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,1920,5,1080,ht,HTC,2048,32768,HTC J butterfly,android,4.4,1,1
HTV31,8,2,Qualcomm Snapdragon 810 MSM8994,2560,5.2,1440,ht,HTC,3072,32768,HTC J butterfly,android,5,1,1
HW-01E,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.5,720,hw,Huawei,1024,8192,Ascend,android,4,0,0
HW-03E,4,1.5,Hisilicom K3V2,1280,4.7,720,hw,Huawei,2048,32768,Ascend D2,android,4.1,0,0
INFOBAR_A02,4,1.5,Qualcomm Snapdragon S4 Pro APQ8064,1280,4.7,720,ht,HTC,1024,16384,INFOBAR A02,android,4.1,0,0
IS04,1,1,Qualcomm Snapdragon QSD8650,854,4,480,t,Fujitsu Toshiba,512,1024,REGZA Phone,android,2.1,0,0
IS11LG,2,1.2,NVIDIA Tegra 2 AP25H,800,4,480,l,LG,1024,4096,optimus X,android,4,0,0
IS11S,1,1,Qualcomm Snapdragon MSM8655,854,4.2,480,so,Sony mobile,512,1024,Xperia acro,android,2.3,0,0
IS11T,1,1.4,Qualcomm Snapdragon MSM8655T,854,4,480,t,Fujitsu Toshiba,512,1024,REGZA Phone,android,2.3,0,0
IS12F,1,1.4,Qualcomm Snapdragon MSM8655,800,4,480,t,Fujitsu Toshiba,512,1024,ARROWS ES,android,2.3,0,0
IS12M,2,1.2,Texas Instruments OMAP4430,960,4.3,540,m,Motorola,1024,16384,MOTOROLA RAZR,android,4,0,0
IS12S,2,1.5,Qualcomm Snapdragon MSM8660,1280,4.3,720,so,Sony mobile,1024,16384,Xperia acro HD,android,4,0,0
IS12SH,1,1.4,Qualcomm Snapdragon MSM8655T,960,4.2,540,sh,SHARP,512,2048,AQUOS PHONE,android,2.3,0,0
IS13SH,1,1.4,Qualcomm Snapdragon MSM8655,960,4.2,540,sh,SHARP,512,4096,AQUOS PHONE,android,2.3,0,0
IS17SH,1,1.4,Qualcomm Snapdragon MSM8655,960,4.2,540,sh,SHARP,1024,8192,AQUOS PHONE CL,android,4,0,0
ISW11F,2,1.2,Texas Instruments OMAP4430,1280,4.3,720,t,Fujitsu Toshiba,1024,8192,ARROWS Z,android,4,0,0
ISW11HT,1,1,Qualcomm Snapdragon QSD8650,800,4.3,480,ht,HTC,512,1024,htc EVO WiMAX,android,2.3,0,0
ISW11K,1,1.4,Qualcomm Snapdragon MSM8655,800,4,480,k,KYOCERA,1024,4096,DIGNO,android,2.3,0,0
ISW11M,2,1,Nvidia Tegra 2 T250,960,4.3,540,m,Motorola,1024,16384,MOTOROLA PHOTON,android,2.3,0,0
ISW11SC,2,1.4,Samsung Exynos4210,1280,4.7,720,sc,SAMSUNG,1024,16384,GALAXY S II WiMAX,android,4,0,0
ISW12HT,2,1.2,Qualcomm Snapdragon MSM8660,960,4.3,540,ht,HTC,1024,4096,htc EVO 3D,android,4,0,0
ISW13F,4,1.5,NVIDIA Tegra 3 AP33,1280,4.6,720,f,Fujitsu,1024,16384,ARROWS Z,android,4,0,0
ISW13HT,2,1.5,Qualcomm Snapdragon MSM8660A,960,4.3,540,ht,HTC,1024,16384,HTC J,android,4,0,0
ISW16SH,2,1.5,Qualcomm Snapdragon MSM8660A,1280,4.6,720,sh,SHARP,1024,16384,AQUOS PHONE SERIE,android,4,0,0
K013,4,1.33,Intel Atom Z3745,800,7,1280,as,ASUS,1024,16384,ASUS MeMO Pad 7,android,4.4.2,0,0
KC-01,4,1.2,Qualcomm Snapdragon 400 MSM8926,960,4.5,540,k,KYOCERA,1536,8192,KC-01,android,4.4,0,0
KFTHWI,4,2.2,Qualcomm Snapdragon 800,1200,7,1920,,Amazon,2048,16384,Kindle Fire HDX 7,android,4.2.2,1,1
KYL21,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.7,720,k,KYOCERA,1024,16384,DIGNO S,android,4,0,0
KYL22,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,5,1080,k,KYOCERA,2048,32768,DIGNO M ,android,4.2,1,1
KYL23,4,1.2,Qualcomm Snapdragon 400 MSM8926,960,4.5,540,k,KYOCERA,1536,8192,miraie,android,4.4,0,0
KYV31,4,2.3,Qualcomm、Snapdragon 801 MSM8974AB,1920,5,1080,k,KYOCERA,2048,16384,URBANO V01,android,4.4,1,1
KYV32,4,2.3,Qualcomm Snapdragon 800 MSM8974AB,1920,5,1080,k,KYOCERA,2048,16384,BASIO,android,4.4,1,1
KYV33,4,2.3,Qualcomm Snapdragon 800 MSM8974AB,1920,4.5,1080,k,KYOCERA,2048,16384,INFOBAR A03,android,4.4,0,0
KYV35,4,1.4,Qualcomm Snapdragon 400 MSM8928,1280,4.7,720,k,KYOCERA,2048,16384,TORQUE G02,android,5.1,0,0
KYV36,4,1.2,Qualcomm Snapdragon 410 MSM8916,1280,5,720,k,KYOCERA,2048,16384,DIGNO rafre,android,5.1,0,0
KYY22,2,1.5,Qualcomm Snapdragon S4 Pro MSM8960,1280,4.7,720,k,KYOCERA,2048,16384,URBANO L02,android,4.2,0,0
KYY23,4,2.3,Qualcomm Snapdragon 801 MSM8974AB,1920,5,1080,k,KYOCERA,2048,16384,URBANO,android,4.4,1,1
KYY24,4,1.4,Qualcomm Snapdragon 400 MSM8928,1280,4.5,720,k,KYOCERA,2048,16384,TORQUE,android,4.4,0,0
L-01D,2,1.5,Qualcomm Snapdragon APQ8060,1280,4.5,720,l,LG,1024,4096,Optimus LTE,android,4,0,0
L-01E,4,1.5,Qualcomm Snapdragon APQ8064,1280,4.7,720,l,LG,2048,16384,Optimus G,android,4.1,0,0
L-01F,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920,5.2,1080,l,LG,2048,32768,G2,android,4.2,1,1
L-02D,2,1,Texas Instruments OMAP4430,800,4.3,480,l,LG,1024,16384,PRADA phone,android,4,0,0
L-02E,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.5,720,l,LG,1024,8192,Optimus LIFE,android,4.1,0,0
L-04E,4,1.7,Qualcomm Snapdragon S4 Pro APQ8064,1920,5,1080,l,LG,2048,32768,Optimus G pro,android,4.1,1,1
L-05D,2,1.5,Qualcomm Snapdragon MSM8960,800,4,480,l,LG,1024,8192,Optimus it,android,4.1,0,0
L-05E,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1280,4.5,720,l,LG,2048,32768,Optimus it,android,4.2,0,0
